Title,TagsAndSkills,Company,Currency,Salary,Location,Experience,JdURl,Jobdescription,CreatedAt
Salesforce Technical Architect with Health Cloud or Healthcare -Remote,"release management,salesforce developer,Salesforce,Cloud,Architecture,Management,Release,Remote",Wilco Source,INR,Not disclosed,Remote,5-10 Yrs,/job-listings-salesforce-technical-architect-with-health-cloud-or-healthcare-remote-wilco-source-hyderabad-secunderabad-5-to-10-years-100523005309,"years of experience functioning as Salesforce.com administrator for Enterprise edition or higher Solid understanding of system architecture and system design (SFDC /CRM and Force.com) is required<br><br>Salesforce.com Communities,Partner / Customer Portal implementation,Knowledge Base Experience with Salesforce.com security model and sharing rules",12/6/2023
Manager - Sales Development - IT,"Sales,Software sales,Marketing,Lead generation,Development,Sales management,Software,Demand generation",Serving Skill,INR,Not disclosed,Delhi NCR,8-12 Yrs,/job-listings-manager-sales-development-it-serving-skill-delhi-ncr-8-to-12-years-120623907076,"That is a promise.  . - You will become part of an amazing culture with a supportive CEO and smart teammates who actually care.  . - You will work with an amazing team you can learn from and teach.  . - You will experience joining a high-growth / high-traction organization.  . - You will hear Yes,lets do that!",12/6/2023
Salesforce QA-Suyati Technologies,"alm,salesforce testing,jira,Salesforce,Salesforce QA,Quality assurance,Software testing",Suyati Technologies,INR,Not disclosed,"Hybrid - Bengaluru, Kochi",4-9 Yrs,/job-listings-salesforce-qa-suyati-technologies-suyati-technologies-kochi-cochin-kerala-bangalore-bengaluru-4-to-9-years-120623006938,"<p><br /></p><p>Greetings from Suyati Technologies!!</p><br /><p>Immediate requirement looking for immediate joiners/15 Days Joiners</p><br /><p><strong>Senior Engineer- Salesforce QA  </strong></p><p><strong>Shift Timings- 4 PM to 12 AM  </strong></p><p><strong>Location- Bangalore/Kochi /Remote </strong></p><br /><p>Senior QA Resource with more than<strong> 4.5+ years of experience.  </strong></p><p>Strong in Salesforce Testing.  </p><p>Good Communicator and able to collaborate in multi vendor ecosystem.  </p><p>Good knowledge in Sales and Service cloud.  </p><p>Hands on exposure in ALM ,JIRA  </p><p>Good Knowledge in Functional Automation<br />Good Knowledge in Test suite integration with Devops integration on Copado tool  </p><p>Microfocus UFT tool & qTest good to have</p><p><br /></p><p><br /></p><p>About the company</p><p>https://suyati.com/ </p><p>https://www.linkedin.com/company/suyati-technologies-private-limited/mycompany/  </p><p>Founded in 2009, Suyati Technologies partners with clients to engineer great experiences for digital customers. We collaborate with businesses to strategize and implement impactful digital initiatives that position our clients ahead of the competition. We are digital-first and focus on delivering great customer experiences that accelerate exponential growth. Our approach to customer experience can be summed up in one phrase  Buyer Rhythms (BR). BR is the deep understanding of your customer by focusing on and learning from the repeated patterns they create while interacting with your business. It offers you detailed insights, delivered in a seamless manner within your existing IT ecosystem. With our niche and rich expertise in CMS, CRM, e-commerce and Marketing Automation, we help companies across the globe leverage their best on web and cloud through our platform integration, data analytics and customer engagement services  </p><p><br /></p><p> </p><p> </p>",12/6/2023
Full Stack Developer - Python / Django,"Full Stack Development,Microsoft,Django,Agile,NoSQL,Dynamics,Ml,Application design",Sciative Solutions,INR,Not disclosed,"Navi Mumbai, Mumbai",1-6 Yrs,/job-listings-full-stack-developer-python-django-sciative-mumbai-navi-mumbai-1-to-6-years-120623906866," oral communication and interpersonal skills,with a high degree of comfort working in teams and making teams successful",12/6/2023
Salesforce Marketing Cloud Lead Developer,"Salesforce Marketing Cloud,Sfmc,Salesforce,Cloud,Marketing Cloud,API,Marketing,Automation",BLJ Tech Geeks,INR,15-30 Lacs PA,"Hybrid - Bengaluru, Hyderabad, Gurgaon",6-9 Yrs,/job-listings-salesforce-marketing-cloud-lead-developer-blj-tech-geeks-hyderabad-secunderabad-telangana-gurgaon-gurugram-haryana-bangalore-bengaluru-karnataka-6-to-9-years-120623006857,"Roles and Responsibilities. Bachelors degree in computer sciences or equivalent field,plus 5+ years of relevant development experience on Salesforce platform<br><br>Knowledge of Salesforce.com platform and experience coding with Apex,Visual Force & Lightning components<br><br>Experience in integrating systems using Web Services and Middleware",12/6/2023
Senior Salesforce Developer,"salesforce,Apex,Salesforce CRM,Sales Force Development,Sales,Development,Senior,CRM",Acuity Knowledge Partners,INR,10-18 Lacs PA,Gurgaon,4-9 Yrs,/job-listings-senior-salesforce-developer-acuity-knowledge-partners-gurgaon-gurugram-haryana-4-to-9-years-120623006830,"As a critical salesforce team member,individual should be able to understand the existing system setup,suggest best practices / process improvement solutions aligned with the companys CRM objectives<br><br>BTech / Post graduate degree is a must <br><br>Certified Salesforce Platform Developer <br><br>Any other Salesforce development certification will be an added plus",12/6/2023
Workflow - Low code consultant,"aws,Salesforce,Coding,Workday,Consulting,Workflow,workflow consultant,Low code",BMC Software,INR,Not disclosed,"Pune, Bengaluru",3-4 Yrs,/job-listings-workflow-low-code-consultant-bmc-software-pune-maharashtra-bangalore-bengaluru-3-to-4-years-120623006794,"<p><strong>Team/BU Description:</strong></p><p>Pre-Sales and Solution Engineering team works closely with Product mgmt., Pre-Sales and Field sales in rolling out go to market messaging, technical demos and works on overall enablement.</p><br /><p><strong>Primary Roles and Responsibilities:</strong></p><ul><li>Youll be an SME in Low Code workflows space.  </li><li>Ability to build custom use cases, applications on BMC helix innovation studio using Low Code constructs. </li><li>Build/ Configure applications and integrations to third party software using REST API's and iPaas platforms. </li><li>Work closely with Product management, Development and Solution Engineering teams to understand market demands, newer use cases, industry trends etc. </li><li>Drive enablement sessions globally, drive adoption across Low Code platform and be an SME who can be available for high impact demos, in critical customer meetings. </li><li>Build presentations, drive communications cutting across the organization, be seen as a ""Go-To"" consultant for anything Low Code. </li></ul><br /><p><strong>REQUIRED SKILLS: </strong></p><ul><li>Understanding of low code workflow platforms like BMC innovation studio or similar.</li><li>Hands on experience in implementing workflow projects, digital transformation projects in Banks, Telcos etc.</li><li>Deep understanding of Integrations, REST Framework and experience in integrating applications </li><li>Knowledge of ITSM platforms like BMC Helix ITSM. Understanding of ITSM constructs like Incidents, Service Requests, Change Management etc.</li><li>Prior experience in implementing complex workflow scenarios including approvals, conditional authorizations etc. Thorough understanding of BPNM, having executed projects on low code platforms. </li><li>Prior experience in working with Chat Bots, IBM Watson and integration experience with MS Teams, Slack etc. </li><li>Should be willing to work in 12.30 PM to 8.30PM shift</li></ul><br /><p><strong>DESIRED (NICE-TO-HAVE) SKILLS:</strong></p><br /><ul><li>Understanding of AWS, K8S or any cloud / containerization platforms</li><li>Prior experience in BMC, similar solutions </li><li>Exposure to Enterprise Service Management use cases would be a plus</li></ul><br />",12/6/2023
Sales Force - SFDC FSL Lead,"salesforce,SFDC,Salesforce CRM,Sales,CRM",Arpan Infrasolution Pvt. Ltd.,INR,Not disclosed,"Delhi NCR, Bengaluru, Mumbai (All Areas)",5-10 Yrs,/job-listings-sales-force-sfdc-fsl-lead-arpan-infrasolution-pvt-ltd-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-120623006631,Prior experience working on an agile project.  . Have solid knowledge in Service Cloud.  . Business requirements assessment and delivery of findings including key pain-points<br><br>Experience 6+ Yrs<br><br>Prior experience with Field Service Lightning configuration & customization.,12/6/2023
Salesforce Developer,"Sfdc Development,SFDC,Salesforce.Com Development,Data loader,Development,Salesforce,C,Apex",Cherub It Solutions,INR,15-30 Lacs PA,Remote,6-11 Yrs,/job-listings-salesforce-developer-cherub-it-solutions-hyderabad-secunderabad-6-to-11-years-190123013164,Looking for Salesforce Developer with ISV Package Experience,12/6/2023
Salesforce Technical Architecture Application Lead,"SFDC,Debugging,Agile,Salesforce,Visualforce,Technical architecture,Apex,Security",Accenture,INR,Not disclosed,Bengaluru,6-8 Yrs,/job-listings-salesforce-technical-architecture-application-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-120623906463,Educational Qualification : Minimum 15 years of full time education <br><br>Additional Information : a Must have PD1 and PD2 Certifications <br><br>Professional Attributes : Must have excellent communication and interpersonal skills <br><br>Work Experience :6-8 years,12/6/2023
Sales - Cold calling  - US Region,"Sales,Cold Calling,Insides Sales,Calling,Cold",Azuga Telematics,INR,Not disclosed,Bengaluru,2-7 Yrs,/job-listings-sales-cold-calling-us-region-azuga-telematics-bangalore-bengaluru-2-to-7-years-120623006113,"<p><strong>Lead</strong> <strong>Generation</strong> <strong>Specialist</strong></p><p><br /><strong><u>Job</u></strong> <strong><u>Description</u></strong></p><p><br />This is an opportunity for you to use your incredible sales skills to move to the head of the<br />pack. You will be working with small to medium size businesses in the U.S in a way that<br />will lead to a closed sale. Your business acumen, research, ability to show Return On<br />Investment and closing skills will win the day.</p><p><br /><strong><u>Company</u></strong> <strong><u>Description</u></strong></p><p><br />Azuga Telematics Private Limited is part of a leader in connected vehicle technologies, with<br />solutions for fleet management, usage-based insurance and road usage charge programs in<br />use throughout North America, South America, Europe and India. We have one of the fastest<br />growing and most dynamic sales centers in all of Bangalore! Azuga is blowing away the<br />competition with our leading edge solutions for fleet tracking, and our reps are making a<br />great living doing it. Some of our team members are among the highest paid in Bangalore.</p><p><br /><strong><u>What</u></strong> <strong><u>We</u></strong> <strong><u>Offer</u></strong></p><p><br />• Be part of one of the best inside sales teams in Bangalore<br /> • Highly dynamic sales environment where the Bangalore team is outselling the<br /> competition that uses inside sales groups in the US. Go India!!<br /> • Best-in-industry sales compensation that includes not only lucrative fixed and<br /> variable components, but also spot bonuses and contests for trips, vacations, cash,<br /> and more<br />• No rotational shift timings.<br />• Strategically located inside a state-of-the-art technology park<br />• Medical insurance - company paid<br />• Pick-up and drop off transportation to most locations in Bangalore - company paid<br />• All meals provided - company paid</p><p><br /><strong><u>Required</u></strong> <strong><u>Skills</u></strong></p><p><br />• Ability to engage prospects on the first call and keep them engaged.<br />• You know how to get through or around the Gate Keeper. No one can keep you<br />out!<br />• Clear and concise verbal communication skills appropriate to the U.S and U.K<br />prospects<br />• Working knowledge of Salesforce.com and MS Office would be an added advantage<br />• Proven ability to identify and develop new sales opportunities.</p><p>Knowledge of sales and marketing including basic selling principles and solution<br /> selling methods; should be able to discover prospects pain points” by using probing<br /> techniques and effectively address each one of them.<br />• Ability to quickly research a prospect company and tailor your initial call to<br />their specific needs and close the sale.<br />• Proven track record of meeting or exceeding sales quotas<br />• A disciplined approach to managing your territories and your sales efforts on a daily<br />basis<br />• Passion for Inside sales; successful candidates are self-driven, energetic, confident<br />and motivated with the ability to think on your feet • Strong judgement and decision making skills</p><p><br /><strong><u>Academic</u></strong> <strong><u>Qualifications</u></strong></p><p><br />• Minimum 10+2 or Graduates or equivalent work experience<br />• Any sales certification training attended would be an added advantage.</p><p><br /><strong><u>Prior</u></strong> <strong><u>Work</u></strong> <strong><u>Experience</u></strong></p><p><br />• 3+ years of experience in international outbound sales and a minimum of 1 year<br /> experience in selling Product based solutions in the North American Market.<br />• Preference given to candidates with experience in selling to businesses with vehicle<br /> fleets and mobile workforces (telematics, mobile resource management, fleet<br /> services and solutions<br /> <br /><br /><br /><br /></p>",12/6/2023
Salesforce Developer,"Integration,Lwc,Salesforce,Apex,Lightning,Visualforce,Soql,Sales force development",Absika Solutions,INR,Not disclosed,"Hybrid - Chennai, Pune, Bengaluru, Hyderabad, Jaipur",5-10 Yrs,/job-listings-salesforce-developer-absika-solutions-hyderabad-secunderabad-pune-chennai-jaipur-rajasthan-bangalore-bengaluru-5-to-10-years-120623005945,"<p><strong>Role:  <u>Salesforce Developer</u></strong></p><p><strong> Experience:  <u>6-13</u></strong></p><p><strong>Designation: <u>Lead Engineer & Architect</u> (Only Pune Location for  Architect)</strong></p><p><strong>Location: <u>Chennai, Bangalore, Hyderabad, Pune, Jaipur</u>.</strong></p><p><strong>Notice Period :<u> 0-30 days </u></strong></p><br /><br /><p><strong>Responsibilities:</strong></p><ul><li> Develop customized solutions within the Salesforce platform to support critical business functions and meet project objectives, client requirements and company goals.</li><li> Own integrations between Salesforce and other back-office systems.</li><li> Engage with Customer Support, Engineering, Professional Services, and other teams to develop solutions and resolve issues.</li><li> Provide system administration support of the Salesforce environment, especially related to customized applications, user permissions, security settings, custom objects and workflow.</li></ul><p><strong>Requirements:</strong></p><ul><li> Salesforce Certified (Platform Developer I and Platform Developer II preferred).</li><li> Experience with Apex triggers and classes (schedulable and batchable).</li><li> Experience with Visualforce pages and controllers.</li><li> Experience with Salesforce Lightning Interface, Lightning component development, LWC (lightning Web Components).</li><li> Declarative development (flows, process builder, and workflows).</li><li> Experience with Salesforce and other cloud system APIs, SQL, and ETL.</li><li> Experience with JavaScript, HTML/CSS. • Demonstrated ability to work across platforms/applications, participate in multiple projects, and solve technical and business problems.</li><li> Demonstrated ability to work in a distributed, team-oriented, collaborative environment.</li><li> Excellent communication, analytical, troubleshooting, and problem-solving skills</li></ul><br /><br /><br /><p>Contact Details</p><p>Shanthakumar@absika.com</p><br /><br /><p><strong>Note: <u>Below 5years & Admin or testing profile will not be considered</u></strong></p><br />",12/6/2023
Mulesoft Developer,"Salesforce Integration,Salesforce,Connectors,SFDC,SQL,SQL development,Integration,Mule ESB",Wipfli India,INR,Not disclosed,"Hybrid - Pune, Bengaluru",2-4 Yrs,/job-listings-mulesoft-developer-wipfli-india-pune-bangalore-bengaluru-2-to-4-years-150523006295,"<p> <br /> <br /><strong>Position: MuleSoft Developer</strong><br /><strong>(2 to 4</strong> <strong>years of development</strong> <strong>experience with MuleSoft)</strong><br /> <br /> <br /><strong>Type: Full Time Employee (FTE)</strong> <br /><br /><strong><u>Introduction:</u></strong><br /><br />This role requires a solid understanding of the technical foundation of the MuleSoft platform, which includes (but is not limited to) API, SOA, ESB, messaging technologies. Expertise in integration to other external systems, integration testing, and integration governance. The platform architect is a technology enthusiast with a strong track record of building and running high volume, reliable architectures, preferably including cloud, As-A-Service infrastructure, and applications. The individual is expected to be relentlessly focused on platform adoption and user experiences that are continuously improved through iterative development of the platform capabilities. <br /><br />The platform architect is responsible for the platform vision and its evolution to meet tactical and strategic objectives of the business. The platform architect acts as the primary point of contact with the vendors product management to identify needs and prioritize the roadmap items based on business value. <br /><br /><strong><u>Certifications:</u></strong><br /> <br />MuleSoft Developer I&II<br />Integration Architecture Designer<br /><strong><u>Technology skills, Competencies and Experience:</u></strong> <br /></p><ul><li>MuleSoft technology from both development and operations perspective.</li><li>2+ years of experience in Salesforce.com development including creating custom objects & workflows </li><li>2+ years experience in Sales / Service Cloud environments</li><li>Knowledge of object-oriented methodologies and approaches; relational databases and data modelling; enterprise systems, CRM, and ERP/F&OS</li><li>Solid experience within a technical environment performing technical design and architecture roles across technical domains.</li><li>Experience with agile project delivery including continuous integration.</li><li>Experience contributing to and enforcing technical policies, procedures, and standards.  </li></ul><p><br /><strong><u>Education</u>: </strong><br /> <br />Bachelor's degree in Data Science, Marketing, Business, or Communication or a related field<br /><br /><strong><u>Role and</u></strong> <strong><u>Responsibilities:</u></strong> <br /> <br /></p><ul><li>Thorough understanding of web services in general and SOAP and REST specifically; understanding of the basic workings of HTTP/S</li><li>Understanding data migration considerations, design trade-offs, and common ETL tools</li><li>Understanding patterns and mechanisms to secure integrations such as TLS for HTTP</li><li>Experience with common integration patterns</li><li>Experience holding a technical architect role on multiple complex deployments or equivalent knowledge through participation and exposure to these types of projects </li><li>Expert on Salesforce architecture, as well as on using MuleSoft technology</li><li>Technically competent with previous hands-on experience of entire software <br />development lifecycle, including but not limited to the following aspects:</li><ul><li>Java, JavaScript, preferably node.js</li><li>Integration patterns: SOA, ESB and MOM (message-oriented middleware)</li><li>Continuous Integration/Continuous Development</li><li>Maven or Gradle</li><li>REST and SOAP web services</li></ul></ul><br /><ul><li>Expert in defined best practices</li><li>Self-sufficient individual who has practical hands-on experience, is proactive and leads <br />by example of excellence.</li><li>Passion for technology with detailed understanding of existing and emerging <br />technologies.</li><li>Strong knowledge of Cloud platforms, features, and capabilities.</li></ul><p><strong><u>No. of positions:</u></strong> 03<br /> <br /> <br /><strong><u>Work location:</u></strong> Wipfli India, Bengaluru and Pune<br /> <br /> <br />Page <strong>1</strong> of <strong>3</strong><br /> </p>",12/6/2023
Business Development Representative,"cold calling,Inside sales,Sales,Lead generation,Development,Cold,Generation,Business development",Safeguard World Payroll Services,INR,2-7 Lacs PA,"Hybrid - Dehradun, Delhi NCR, Meerut",3-8 Yrs,/job-listings-business-development-representative-safeguard-world-payroll-services-dehradun-uttarakhand-meerut-uttar-pradesh-delhi-ncr-3-to-8-years-120623005833,Ready to work in Night Shifts <br><br>Experience working with Salesforce.com or similar CRM Excellent verbal and written communications skills <br><br>Minimum of 3-5 years experience in B2B inside sales or customer support with US based Companies,12/6/2023
Project Manager,"Project Execution,monday.com,Cloud Services,Marketing Cloud,Salesforce,Marketing,Execution,Project",Omnifin Solutions P Ltd,INR,9-12 Lacs PA,Gurgaon,3-8 Yrs,/job-listings-project-manager-omnifin-solutions-p-ltd-gurgaon-gurugram-haryana-3-to-8-years-120623005764,"Experience as a Project Manager in Salesforce and Monday.com platforms, including configuration and customisation. Knowledge of Marketing Clouds like Salesforce, Adobe & Braze or ESPs & point solutions like Cheetah, Emarsys, DotDigital or Mailchimp",12/6/2023
Sales Development Representative,"Saas Sales,communication skills,CRM sales,Salesforce,Development,Hubspot,SAAS,Cold",Moxtra Solutions,INR,Not disclosed,Hybrid - Bengaluru(Indira Nagar),0-2 Yrs,/job-listings-sales-development-representative-moxtra-solutions-bangalore-bengaluru-0-to-2-years-120623005756,"Bachelors degree (or equivalent) with atleast two years of relevant work experience <br><br>Proficiency with HubSpot / Salesforce or other CRM software <br><br>Required skills and qualifications<br><br>Preferred skills and qualifications<br><br> Two or more years of experience in sales,with a track record of exceeding lead targets",12/6/2023
Senior Business Analyst,"user stories,Technical,Requirements,Documentation,Technical documentation,Solutioning,FRD,Gap analysis",Boston Harbor Consulting,INR,Not disclosed,Chennai(Sholinganallur),7-12 Yrs,/job-listings-senior-business-analyst-boston-harbor-consulting-chennai-7-to-12-years-120623005476,Should have a deep salesforce functional knowledge,12/6/2023
Job Opportunity For SAP QA Analyst_Hyderabad & Bengaluru,"SAP SD,manual testing,Functional Testing,sap testing,Functional,Saps,Automation testing,Automation",Vandey Consultancy Services,INR,15-25 Lacs PA,"Bengaluru, Hyderabad",5-10 Yrs,/job-listings-opportunity-for-sap-qa-analyst-hyderabad-bengaluru-vandey-consultancy-services-hyderabad-secunderabad-telangana-bangalore-bengaluru-5-to-10-years-120623005444,Must have experience with SAP testing<br><br>A willingness to do what it takes to get the job done<br><br> BSc degree or equivalent years of experience <br><br>5+ years of SAP experience in Software Quality Assurance <br><br>5+ years of SAP functional experience in SAP modules <br><br>Experience with Salesforce a plus,12/6/2023
Salesforce Technical Architecture Application Lead,"SFDC,Apex,Technical Architecture,Salesforce,Visualforce,Technical,Technical design,Architecture",Accenture,INR,Not disclosed,Bengaluru,8-10 Yrs,/job-listings-salesforce-technical-architecture-application-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-8-to-10-years-120623905352,Educational Qualification : Minimum 15 years of full time education <br><br>Additional Information : a Must have PD1 PD2 Certification . <br><br>Professional Attributes : Must have excellent communication and interpersonal skills <br><br>Work Experience :8-10 years,12/6/2023
Salesforce Conga CPQ Application Lead,"CPQ,Sales Cloud,Salesforce,salesforce CPQ,Management,Stakeholder management,Conga,Agile",Accenture,INR,Not disclosed,Kolkata,8-10 Yrs,/job-listings-salesforce-conga-cpq-application-lead-accenture-solutions-pvt-ltd-kolkata-8-to-10-years-120623905347,"Educational Qualification : 15 years of full time education <br><br>Work Experience :8-10 years <br><br>Professional Attributes : 1 Team player,ability to work independently and assist juniors 2 stakeholder management skills,people management and good communication",12/6/2023
Salesforce Lead/Architect,"Salesforce,Mule ESB,Sales,Architecture,Triggers,Lwc,Visualforce,Heroku",MothersonSumi INfotech & Designs (MIND),INR,Not disclosed,Noida,7-12 Yrs,/job-listings-salesforce-lead-architect-mothersonsumi-infotech-designs-mind-noida-uttar-pradesh-7-to-12-years-120623005252,Must have Salesforce Certification(s)<br><br>At least 1 Architect certification preferred <br><br>Minimum 3 years of Solution architecture experience as a Salesforce Solution Architect <br><br>Experience in presenting to senior leaders and C-level execs,12/6/2023
Sales Co-ordinator ( Male / Female ),"Sales Coordination,Office,Marketing,Sales,Sales support,Administration,Marketing support,Back office support",Salesforce,INR,2.75-3.75 Lacs PA,Mumbai(Bhiwandi +1),2-5 Yrs,/job-listings-sales-co-ordinator-male-female-salesforce-mumbai-2-to-5-years-010322001926,"preferred male candidate around Thane or closeby areas eg<br><br>Graduate,3-5 YR EXP<br><br>Navi Mumbai,Dombivili and kalyan,Bhiwandi,good communication skills,good in computers amd familiar with ERP",12/6/2023
Mis Executive,"crm sales,excel,Management Information System,sales audit,MIS Excel,Sales,Report preparation,Sales MIS",upGrad,INR,Not disclosed,Bengaluru,2-7 Yrs,/job-listings-mis-executive-upgrad-bangalore-bengaluru-karnataka-2-to-7-years-120623005079, . Any bachelors degree is a must<br><br>Complete sales forecasts and sales activity reports and presentations in a timely manner. Self-Motivated: Sales Ops should be self-motivated and should be able to perform without much of hand holding. Multi-tasking: This person should be able to do multiple tasks between processes and still deliver results without any errors,12/6/2023
Salesforce - Walk in Drive in Bangalore on 17 Jun,"Lightening web components,LWC,Aura,Salesforce,Components,Web Technology,Lightning,Drives",IDFC FIRST Bank,INR,Not disclosed,"Hybrid - Bangalore Rural, Karnataka",17 Jun,/job-listings-salesforce-walk-in-drive-in-bangalore-on-17-jun-idfc-first-bank-bangalore-rural-karnataka-4-to-9-years-120623005026,"Must have experience in LWC,APEX,Triggers,Batches,Async programming code knowledge.S <br><br> Kind Note - Immediate to 30 Days joiners are only preferred<br><br>Skills Required : . 4 to 9 years of total experience in Salesforce",12/6/2023
Sfdc Admin + Devops,"salesforce,devops,Salesforce Admin,SFDC,Reporting,Administration,Configuration,Design",Quinnox,INR,10-20 Lacs PA,"Hybrid - Bengaluru, Mumbai (All Areas)",5-8 Yrs,/job-listings-sfdc-admin-devops-quinnox-bangalore-bengaluru-mumbai-all-areas-5-to-8-years-120623005012,"<p> </p><p><strong>Experience and Skills:</strong></p><ul><li>5 to 8 years of IT experience with hands-on development in SFDC technologies.</li><li>Should have Deployment experience and DevOps.</li><li>Coordination of and execution of deployment activities for the team (on shore and off shore).</li><li>Responsible for validating and deployment pages using our deployment toolkit and following best practices.</li><li>Maintain and manage the Salesforce Sandbox topology from development up to production.</li><li>Apply change management processes for documenting, communicating, and testing code releases from Sandboxes to Production environments.</li><li>Experience with Version Control, Git or other SCM systems.</li><li>Experience with deployment tools like Jenkin, Flosum etc.</li><li>Manage and maintain Salesforce security access, profiles and permission sets.  Work with Org's internal controls and governance groups to ensure compliance with best practices and company standards.</li><li>Manages all new user set-ups and deactivation, including transferring ownership of accounts/contacts/opportunities for deactivated users.</li><li>Okta, SSO experience will be a plus.</li><li>Performs mass data imports as needed.</li><li>Abide by team coding standards, development processes and best practices.</li><li>Manage code repository, code deployment, and other environment tools and subscriptions.</li><li>Manage communication with Salesforce to keep team informed on environmental changes, report bugs to Salesforce, and support team information requests.</li><li>Regularly audits the environments to uncover data, integrity issues and/or opportunities for process improvement.</li><li>Salesforce data model and architecture understanding.</li><li>Knowledge of Salesforce recommended best practice around design, deployment and development.</li><li>Should be proficient in Salesforce design, configuration, Salesforce reporting.</li><li>Experience in data migration activities from lower environment to production and address issues related to functionality and integration.</li><li>Proficiency with Salesforce.com development including creation of standard and custom objects and fields etc.  </li><li>Analytical & problem-solving skills</li></ul><p><strong>Communication</strong>:</p><ul><li>Fair understanding of working with on-shore and stakeholders.</li><li>Good Verbal and written Communication Skills. </li></ul><p><strong>Desirable</strong>: </p><p>Experience in the Transport / Logistics Industry and the technologies that support business activities.</p><p><strong>Certifications:</strong></p><ul><li>Salesforce Platform developer 1 or Platform App Builder.</li><li>Salesforce Admin Certification.</li></ul><br /><br />",12/6/2023
SAP Basis,"SAP,C4S,HANA,AWS,Ariba,GCP,Microsoft Azure,SAP Hana",HCLTech,INR,Not disclosed,Remote,5-10 Yrs,/job-listings-sap-basis-hcltech-any-5-to-10-years-120123006948,"Experience: (CAA Role)- REX (SAP Basis,SAP HANA and S / 4 HANA skills,Migration/ Upgrades & Experience on Any Cloud (AWS,MS Azure,GCP) Good Comm Skill,who can articulate,Experience in Customer Facing. Notice Period: 30 days <br><br>Good understanding & hands-on experience required in S / 4 HANA application & HANA database<br><br>Experience in SAP Upgrade & Migration (OS / DB) is required",12/6/2023
Urgent Hiring For Female candidates For Sales Profile,"VISA,Sales,Travel Sales,Immigration,Salesforce,Business development management,Management,Development",Vaiteek Holidays,INR,1.75-3 Lacs PA,"Delhi NCR, Delhi",0-5 Yrs,/job-listings-urgent-hiring-for-female-candidates-for-sales-profile-vaiteek-holidays-new-delhi-delhi-ncr-0-to-5-years-120623004709,Should be target oriented and self driven <br><br>Good Interpersonal and persuasion skills <br><br>Good Convincing power,12/6/2023
Freshers required For Immigration Consultant In Delhi (Female Only),"Immigration counsellor,Visa counsellor,Sales,Travel Sales,Visa Processing,CRM,Visa counselling,Salesforce",Vaiteek Holidays,INR,1.75-3 Lacs PA,"Delhi NCR, Delhi(Netaji Subhash Place)",0-5 Yrs,/job-listings-freshers-required-for-immigration-consultant-in-delhi-female-only-vaiteek-holidays-new-delhi-delhi-ncr-0-to-5-years-120623004700,"Call Priya : +91 9643862405
Job Location: Netaji Subhash Palace, New Delhi
Role: Visa/Immigration Counselling
Salary: Fixed + Incentive
Vacancy : 10-Experience in BPO/Visa Services.
-Fluency in English must.
-Highly motivated and great interpersonal skills.
-Must be presentable and attitude to close deals.
-Able to handle work under pressure.",12/6/2023
Urgent hiring For female candidates For Immigration Consultant,"Immigration counsellor,Sales,Travel Sales,Immigration,Visa Processing,Salesforce,Consulting,Travel",Vaiteek Holidays,INR,1.75-3 Lacs PA,"Delhi NCR, Delhi",0-5 Yrs,/job-listings-urgent-hiring-for-female-candidates-for-immigration-consultant-vaiteek-holidays-new-delhi-delhi-ncr-0-to-5-years-120623004687,"Call Priya : +91 9643862405
Job Location: Netaji Subhash Palace, New Delhi
Role: Visa/Immigration Counselling
Salary: Fixed + Incentive
Vacancy : 18-Experience in BPO/Visa Services.
-Fluency in English must.
-Highly motivated and great interpersonal skills.
-Must be presentable and attitude to close deals.
-Able to handle work under pressure.",12/6/2023
Female required Fresher Graduates For Sales profile,"Key Account Management,Sales,Business Development,Immigration,Customer service,Visa Filing,Key accounts,Key",Vaiteek Holidays,INR,1.25-2.5 Lacs PA,"Delhi NCR, Delhi",0-5 Yrs,/job-listings-female-required-fresher-graduates-for-sales-profile-vaiteek-holidays-new-delhi-delhi-ncr-0-to-5-years-120623004680,"Call Priya : 9643862405
Job Location: Netaji Subhash Palace, New Delhi
Role: Sales Executive (Girls Only)
Field : Travel / Immigration
Salary: Fixed + IncentiveExperience in Immigration/BPO (Freshers Welcome)
Fluency in English must.
Basic knowledge of computers; MS Office.
Must be presentable and attitude to close deals.
Able to handle work under pressure.",12/6/2023
Salesforce Lightning Web Components Application Developer,"SLDS,Web technologies,Data modeling,Lightning Data,Salesforce,Lighting,Customization,Apex",Accenture,INR,Not disclosed,Bengaluru,4-6 Yrs,/job-listings-salesforce-lightning-web-components-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-120623904476,Educational Qualification : 1 Regular 15-year full time education . <br><br>Professional Attributes : A Good Oral and written communication skills B Attitude to learn new technologies C Excellent Team player <br><br>Work Experience :4-6 years,12/6/2023
